Tahun_Ajaran,Tahun_Penduduk,Kecamatan,Jumlah_Penduduk,Jumlah_Guru_SD,Jumlah_Siswa_SD,Jumlah_Rombel_SD,Rasio_Siswa_Guru,Jumlah_Penduduk_Zscore,Jumlah_Guru_SD_Zscore,Jumlah_Siswa_SD_Zscore,Jumlah_Rombel_SD_Zscore,Rasio_Siswa_Guru_Zscore
2021-2022,2021,Sematang Borang,56.874,127,3346,106,26.346456692913385,-1.1380322107460414,-1.6487138355389317,-1.02111431750596,-1.5732577887330845,1.1737158250328767
2021-2022,2021,Sukarami,187.64,671,18406,569,27.43070044709389,2.645070722126745,1.5103570040099048,2.415818176341859,1.906315812476708,1.3500045648373433
2022-2023,2022,Alang-Alang Lebar,110.085,372,7963,278,21.405913978494624,0.4013793347710947,-0.22597053463918,0.03255881158403873,-0.2806300146335504,0.37042593222338244
2022-2023,2022,Bukit Kecil,38.704,267,4989,193,18.685393258426966,-1.6636962234886392,-0.8357176635962164,-0.6461554803617391,-0.9194286239269248,-0.07190741533198994
2022-2023,2022,Gandus,78.722,284,6133,225,21.595070422535212,-0.5059624611367806,-0.7369966998603152,-0.38507641177197116,-0.6789397357223603,0.4011811484902385
2022-2023,2022,Ilir Barat I,144.355,700,13803,531,19.71857142857143,1.3928215866527032,1.6787633539123243,1.3653400708185184,1.6207352577337875,0.09607849826537794
2022-2023,2022,Ilir Barat II,68.026,159,4129,149,25.968553459119498,-0.8154012217473928,-1.4628861390948824,-0.8424212137421591,-1.250100845208201,1.1122719987745369
2022-2023,2022,Ilir Timur I,66.372,334,6056,247,18.131736526946106,-0.8632519799794376,-0.4466409241664884,-0.40264904138859015,-0.5136036250817223,-0.16192725367617436
2022-2023,2022,Ilir Timur II,85.724,354,6882,269,19.440677966101696,-0.30339232259942917,-0.3304986138889576,-0.2141426509557682,-0.34826751444108417,0.050895403495589235
2022-2023,2022,Ilir Timur III,73.236,331,5704,223,17.23262839879154,-0.6646742263489922,-0.464062270708118,-0.4829810624931341,-0.6939702912351456,-0.30811452775470566
2022-2023,2022,Jakabaring,92.246,408,8686,319,21.28921568627451,-0.11470874026001153,-0.016914376139624633,0.19755895720501968,0.02749637337854783,0.35145179029865764
2022-2023,2022,Kalidoni,128.463,614,13598,510,22.14657980456026,0.9330608551994636,1.179351419718942,1.3185557971638833,1.462914424849542,0.49085184622095374
2022-2023,2022,Kemuning,80.934,624,11634,421,18.64423076923077,-0.44196858132463807,1.2374225748577075,0.8703396339555755,0.7940547045305971,-0.07860008321191425
2022-2023,2022,Kertapati,94.157,449,9248,366,20.596881959910913,-0.05942288839698978,0.2211773599293134,0.32581633180943365,0.3807144279290019,0.23888426138813396
2022-2023,2022,Plaju,96.561,488,9955,389,20.399590163934427,0.010125613894326155,0.44765486497049833,0.4871650219256626,0.5535658163260326,0.20680630663639787
2022-2023,2022,Sako,118.213,417,9808,319,23.520383693045563,0.6365250197227642,0.0353496634852642,0.4536172744757536,0.02749637337854783,0.7142205816236301
