Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel
Gandus,SD NEGERI 148 PALEMBANG,2019-2020,65782,Negeri,416,18,15
Gandus,SD NEGERI 149 PALEMBANG,2019-2020,65782,Negeri,730,29,24
Gandus,SD NEGERI 150 PALEMBANG,2019-2020,65782,Negeri,478,21,15
Gandus,SD NEGERI 151 PALEMBANG,2019-2020,65782,Negeri,249,12,11
Gandus,SD NEGERI 152 PALEMBANG,2019-2020,65782,Negeri,73,8,6
Gandus,SD NEGERI 153 PALEMBANG,2019-2020,65782,Negeri,64,8,6
Gandus,SD NEGERI 154 PALEMBANG,2019-2020,65782,Negeri,103,9,6
Gandus,SD NEGERI 155 PALEMBANG,2019-2020,65782,Negeri,166,10,10
Gandus,SD TUNAS TELADAN PALEMBANG,2019-2020,65782,Swasta,567,22,19
Gandus,SD ISLAM TERPADU AL HIDAYAH,2020-2021,73953,Swasta,0,1,0
Gandus,SD MUHAMMADIYAH 12 PALEMBANG,2020-2021,73953,Swasta,304,14,10
Gandus,SD NEGERI 142 PALEMBANG,2020-2021,73953,Negeri,322,15,12
Gandus,SD NEGERI 143 PALEMBANG,2020-2021,73953,Negeri,813,28,24
Gandus,SD NEGERI 144 PALEMBANG,2020-2021,73953,Negeri,786,27,24
Gandus,SD NEGERI 145 PALEMBANG,2020-2021,73953,Negeri,147,9,6
Gandus,SD NEGERI 146 PALEMBANG,2020-2021,73953,Negeri,415,15,13
Gandus,SD NEGERI 147 PALEMBANG,2020-2021,73953,Negeri,339,15,11
Gandus,SD NEGERI 148 PALEMBANG,2020-2021,73953,Negeri,461,20,16
Gandus,SD NEGERI 149 PALEMBANG,2020-2021,73953,Negeri,718,28,24
Gandus,SD NEGERI 150 PALEMBANG,2020-2021,73953,Negeri,468,20,15
Gandus,SD NEGERI 151 PALEMBANG,2020-2021,73953,Negeri,267,11,9
Gandus,SD NEGERI 152 PALEMBANG,2020-2021,73953,Negeri,72,8,6
